Date,ABI.BR,AD.AS,ADSGn.DE,ADYEN.AS,AIR.PA,AIRP.PA,ALVG.DE,ASML.AS,AXAF.PA,BASFn.DE,BAYGn.DE,BBVA.MC,BMWG.DE,BNPP.PA,CRDI.MI,DANO.PA,DB1Gn.DE,DHLn.DE,DTEGn.DE,ENEI.MI,ENI.MI,ESLX.PA,HRMS.PA,IBE.MC,IFXGn.DE,INGA.AS,ISP.MI,ITX.MC,LVMH.PA,MBGn.DE,MUVGn.DE,NDAFI.HE,NOKIA.HE,OREP.PA,PERP.PA,PRTP.PA,PRX.AS,RACE.MI,SAF.PA,SAN.MC,SAPG.DE,SASY.PA,SCHN.PA,SGEF.PA,SGOB.PA,SIEGn.DE,STLAM.MI,TTEF.PA,VOWG_p.DE,WLSNc.AS
2023-01-02,98846184002.7,26870322891.36,22986000000.0,40474764611.2,89745022210.88,70661999700.0,81892906887.8,208381338520.2,62285866397.09,42891628768.06,48625079938.59,34866133973.05,56606954341.35,67801837314.78,26021636937.49,33508044668.56,30742000000.0,44612334021.04,94413607056.66,52571902000.77,48957957188.72,76525311063.5,155503743876.0,70046654940.0,37479936631.9,43511040325.79,40313229108.68,79786291200.0,349310918999.9,68234232369.66,42562055237.8,37237126406.24,25001768939.86,180411390050.2,47694465939.5,60000628240.8,132572582009.2,39269508547.5,50645318837.6,47855647313.61,119680882281.44,116203393078.56,75806874333.54,55962326983.5,24219984315.68,110347000000.0,43856104181.39,157200259725.7,70226242571.6,25288086224.6
2023-01-03,98741952525.72,27198252127.83,23738400000.0,40524335664.0,90281001616.32,70484036145.2,82760031979.2,209752003157.4,62697421111.82,43700567478.81,48359825436.45,35390754114.12,56634140839.08,69134915492.46,26919602097.31,33761483893.06,30609000000.0,44934489467.38,94942171667.84,53883403713.8,49236533250.92,76144810833.0,157298423880.0,69823981650.0,37930479424.16,44539564403.38,41253174865.1,79100627760.0,353689257849.2,68523088480.35,43108441068.7,37456383284.0,24931365220.16,181107132580.8,47578389629.75,60683017519.8,137982889920.7,39521609096.2,50414607920.0,47981605325.49,121019951894.32,117027260939.61,76469342121.9,55897494377.2,24854366358.02,111299000000.0,44428084438.15,154476363189.3,71011639843.0,25344739778.26
2023-01-04,100791838239.66,27471526491.56,24908400000.0,41075437954.4,90943093823.04,72378824581.6,85300910154.0,216484385346.0,63602841484.21,45550847181.84,48654552661.05,36783711040.4,57950370767.53,71973878278.26,27925942362.63,34075748531.44,30276500000.0,45448699122.12,95859680049.5,55784572863.7,48486520775.75,77577282289.0,163949296836.0,70682864340.0,39073160419.04,45545729261.89,42316547842.06,81500449800.0,371403916182.0,70459494259.42,45097845888.9,38179930980.61,25317177604.12,190606694056.3,48081386972.0,63400167558.0,145457130109.55,39967633143.9,50841850360.0,49761811893.39,123710376162.4,116951211598.59,79838790355.8,57217721996.4,25963245537.72,114988000000.0,45604178673.97,150861962016.0,72817404515.0,25561053346.78
2023-01-05,99263109910.62,27183346253.44,24937200000.0,39792605175.8,90801216921.6,72026757289.6,84514447861.8,217653481654.2,62897319116.12,46140791434.98,48890334440.73,37109337334.86,58634054408.6,72344177772.06,28127210415.69,34177124221.24,29906000000.0,45789440459.6,97405482214.26,55693072744.19,48600808391.02,77868253053.5,163474234482.0,70332949170.0,38838094614.38,45419027020.44,42060198999.4,82030280640.0,366572645727.6,71047904855.27,44733588668.3,38866935864.26,25274935372.3,189482802276.1,47539697526.5,64268663004.0,142872205218.5,39928848444.1,50756401872.0,49946550310.82,123882366754.88,114517632685.95,79735993630.02,57412219815.3,26494476028.46,114614000000.0,46079757763.86,151752466652.9,73323925612.1,25123275886.68
2023-01-06,99784267295.52,27203220752.62,25322400000.0,40623037989.0,91857411632.32,73953054286.88,85421904352.8,222329866887.0,64309176491.02,47204478800.49,49661537345.1,37447023862.44,59010591547.83,72961343595.06,28471688429.59,33551974134.14,29858500000.0,45820416944.82,98632151028.88,56943574377.55,49422250625.73,78830694813.0,168013719198.0,70534945654.5,39771828227.33,45910929840.16,42411491857.86,83557440120.0,376839095443.2,71101396727.62,45462103109.5,38866935864.26,25274935372.3,191917901133.2,48055592236.5,65459742472.8,145857893658.55,40510618941.1,52294474656.0,51164144425.66,125725123102.88,115493599229.04,81038085489.9,58042864258.4,27015391364.04,115719000000.0,46420375220.13,153690623803.8,73671169693.0,25396243008.86
2023-01-09,98620349135.91,27481463741.14,25498800000.0,41924462547.0,92614088440.0,74612601628.34,86168035245.4,236479963582.8,64450282747.72,47231294448.36,50948512892.52,37851041672.23,59284531599.98,72850253746.92,28278161455.49,33207296788.82,30390500000.0,46892203333.6,99011121882.18,56923241017.65,49800828351.29,78718782980.5,170072322732.0,70114517276.0,40712091445.97,45717186291.57,42316547842.06,83837938800.0,382274274704.4,72021456932.04,45434083323.3,39203129743.49,25956443379.0,195798003707.7,48455410636.75,65323264617.0,148783467566.25,41887475784.0,52183391621.6,50710695582.89,128452402497.92,114631706697.48,82705676819.22,58791386167.5,27330603655.18,117589000000.0,46767419420.87,152747736541.2,73907881766.9,25159328148.1
2023-01-10,97873356884.22,27183346253.44,25218000000.0,41521640660.0,90722396420.8,74172903400.7,87236817334.8,234907730616.6,64556112440.25,46212299829.3,53011603464.72,38050035518.84,59649157787.17,72023251544.1,28251067679.12,33447219254.68,30932000000.0,46594829075.44,99579578162.12,56282740181.06,49907972990.6,77286311524.5,169597260378.0,69823451475.5,40248489442.34,45419063133.49,42724807110.0,83339274480.0,380613525485.7,72481487034.25,45083835995.8,39122735554.98,25669196202.62,194995223864.7,48365129062.5,65050308905.4,149023925695.65,41402667036.5,52055218889.6,50987803209.02,128599823005.76,114162735761.19,82397286641.88,58585100602.0,26675576921.04,117419000000.0,47127317110.51,152983458356.85,73238882556.1,25257184286.24
2023-01-11,98898299741.19,27670271483.36,26017200000.0,40263596920.6,89776550411.2,75638564159.5,86873834738.4,238939097196.6,64273899926.85,46632411645.93,54927330424.62,37826921205.97,60450262729.43,72331834455.6,27829178875.58,33639833065.3,30941500000.0,46532876105.0,100277682365.56,57238408095.98,50857988792.48,77510135189.5,171075232146.0,70470264365.5,40385611161.72,46074934081.26,42905200740.02,84991100040.0,388665642909.7,72898723638.58,44887697492.4,39195821180.9,25908568849.6,196788098847.4,49061586921.0,67420060765.2,151508659699.45,42062006933.1,52593978907.0,50626723574.97,131007691300.48,114162735761.19,83825018944.38,58750129054.4,26840623027.28,119136000000.0,47069476410.39,153978728245.15,74271518205.3,25308687516.84
2023-01-12,97265339935.17,27739832230.48,26359200000.0,40691207846.8,91620950129.92,75094175877.66,87801456929.2,241640112805.2,65402749980.45,47454758180.61,55389069743.16,38116366801.04,61384064518.57,73664912633.28,28231714981.71,33355981133.86,30827500000.0,47059476353.82,101274974084.76,58021242451.82,51486570676.43,76301487398.5,170547385086.0,70955374033.0,40986334884.75,46581743450.0,43370426417.44,85801429560.0,389370203184.3,73711800098.3,45322004178.5,38954638615.36,26111331562.34,196493746238.3,49358226379.25,68735211012.0,150767247133.8,42023222233.3,53508285282.8,51777140083.47,131130541723.68,114462244908.9,83984924962.26,59551695823.2,27181030621.4,120751000000.0,47461507822.33,155707354893.25,75262093832.2,25241733317.06
2023-01-13,97786497320.07,27734863605.69,26373600000.0,42159958419.4,92093873134.72,74434628536.2,87821622629.0,243776737092.6,65402749980.45,47159786054.04,56400966547.62,38363601580.17,60398802996.04,73887092329.56,28552969758.71,33602661979.04,30960500000.0,47369241206.07,101499364721.58,58234742730.69,51507999604.29,77823488320.5,174295099212.0,70502605010.0,41521762550.92,47088552818.74,43446381630.08,85676763480.0,395207988316.7,71721902446.88,45350023964.7,38633061861.31,26187367579.61,200106255531.8,50015992134.5,69926290480.8,152430415862.15,42197753382.4,54063705043.8,52675640568.22,132236195532.48,115577713076.34,84738767617.98,59752087515.4,27464703616.5,121074000000.0,45726286818.67,156440711653.05,73246743903.9,25499249470.06
