Date,DHLn.DE,PERP.PA,NDAFI.HE,AIRP.PA,IBE.MC,SIEGn.DE,SAN.MC,VOWG_p.DE,SAPG.DE,CRDI.MI,AD.AS,BNPP.PA,DTEGn.DE,SASY.PA,ESLX.PA,ASML.AS,DB1Gn.DE,ADYEN.AS,STLAM.MI,IFXGn.DE,NOKIA.HE,BBVA.MC,ALVG.DE,SAF.PA,OREP.PA,SGEF.PA,HRMS.PA,BMWG.DE,TTEF.PA,ENI.MI,WLSNc.AS,PRTP.PA,BAYGn.DE,BASFn.DE,ENEI.MI,PRX.AS,AIR.PA,SCHN.PA,MUVGn.DE,DANO.PA,RACE.MI,LVMH.PA,MBGn.DE,AXAF.PA,INGA.AS,ITX.MC,ISP.MI,ADSGn.DE,SGOB.PA,ABI.BR
2023-01-02,36.005,184.9,10.19,122.727285,10.047894967851585,129.82,2.8495,120.04,97.42,13.446,27.04,54.93,18.934,91.68,170.95,516.9,161.8,1306.4,13.648,28.7,4.439,5.782,203.05,118.54,337.1,94.95,1473.0,85.8,60.02,13.708,98.2,483.6,49.495,47.985,5.171,30.354207999999996,113.16408768,132.74,303.8,49.58,202.5,694.1,63.78,26.485,11.676,25.6,2.123,127.7,46.96,56.9
2023-01-03,36.265,184.45,10.25,122.41819405999999,10.015953430714907,130.94,2.857,122.06,98.51,13.91,27.37,56.01,19.04,92.33,170.1,520.3,161.1,1308.0,13.826,29.045,4.4265,5.869,205.2,118.0,338.4,94.84,1490.0,85.83,58.98,13.786,98.42,489.1,49.225,48.89,5.3,31.592968,113.83993152000001,133.9,307.7,49.955,203.8,702.8,64.05,26.66,11.952,25.38,2.1725,131.88,48.19,56.84
2023-01-04,36.68,186.4,10.448,125.70910348,10.1391565025278,135.28,2.963,125.88,100.7,14.43,27.645,58.31,19.224,92.27,173.3,537.0,159.35,1325.6,14.192,29.92,4.495,6.1,211.5,119.0,356.15,97.08,1553.0,87.88,57.6,13.576,99.26,511.0,49.525,50.96,5.487,33.304292000000004,114.67479743999999,139.8,321.9,50.42,206.1,738.0,65.86,27.045,12.222,26.15,2.2285,138.38,50.34,58.02
2023-01-05,36.955,184.3,10.636,125.09092159999999,10.088962658455879,134.84,2.974,127.12,100.84,14.534,27.355,58.61,19.534,90.35,173.95,539.9,157.4,1284.2,14.34,29.74,4.4875,6.154,209.55,118.8,354.05,97.41,1548.5,88.95,57.94,13.608,97.56,518.0,49.765,51.62,5.478,32.71244,114.4958976,139.62,319.3,50.57,205.9,728.4,66.41,26.745,12.188,26.32,2.215,138.54,51.37,57.14
2023-01-06,36.98,186.3,,128.43637648,10.117933642645442,136.14,3.0465,128.16,102.34,14.712,27.375,59.11,19.78,91.12,176.1,551.5,157.15,1311.0,14.446,30.455,,6.21,211.8,122.4,358.6,98.48,1591.5,89.53,58.68,13.838,98.62,527.6,50.55,52.81,5.601,33.396052000000005,115.82770752,141.9,324.5,49.645,208.9,748.8,66.46,27.345,12.32,26.81,2.2335,140.68,52.38,57.44
2023-01-09,37.845,187.85,10.728,129.58183114,10.057625005619126,138.34,3.0195,128.02,104.56,14.612,27.655,59.02,19.856,90.44,175.85,586.6,159.95,1353.0,14.554,31.175,4.6085,6.277,213.65,122.14,365.85,99.75,1611.0,89.98,58.32,13.944,97.7,526.5,51.86,52.84,5.599,34.0659,116.78184,144.82,324.3,49.135,216.0,759.6,67.32,27.405,12.268,26.9,2.2285,141.66,52.99,56.77
2023-01-10,37.605,187.5,10.706,128.8181947,10.015872872293217,138.14,3.036,127.28,104.68,14.598,27.355,58.35,19.97,90.07,172.65,582.7,162.8,1340.0,14.666,30.82,4.5575,6.31,216.3,121.84,364.35,99.4,1606.5,90.52,58.41,13.974,98.08,524.3,53.96,51.7,5.536,34.120956,114.39650879999999,144.28,321.8,49.49,213.5,756.3,67.75,27.45,12.188,26.74,2.25,140.1,51.72,56.34
2023-01-11,37.555,190.2,10.726,131.3636495,10.108655390795239,140.16,3.0145,127.78,106.64,14.38,27.845,58.6,20.11,90.07,173.15,592.7,162.85,1299.4,14.648,30.925,4.6,6.273,215.4,123.1,367.7,99.68,1620.5,91.78,58.79,14.24,98.28,543.4,55.91,52.17,5.63,34.689868,113.20384320000001,146.78,320.4,49.775,216.9,772.3,68.14,27.33,12.364,27.27,2.2595,144.54,52.04,56.93
2023-01-12,37.98,191.35,10.66,130.41819486,10.178242279671757,142.06,3.083,128.72,106.74,14.588,27.915,59.68,20.31,90.3,170.45,599.4,162.25,1313.2,14.77,31.385,4.636,6.321,217.7,125.24,367.15,101.04,1615.5,93.22,59.45,14.416,98.02,554.0,56.38,53.09,5.707,34.520112,115.52954111999999,147.06,323.5,49.355,216.7,773.7,68.9,27.81,12.5,27.53,2.284,146.44,52.7,55.99
2023-01-13,38.23,193.9,10.572,129.2727402,10.113294516720341,142.44,3.1365,125.1,107.64,14.754,27.91,59.86,20.355,91.18,173.85,604.7,162.95,1360.6,14.23,31.795,4.6495,6.362,217.75,126.54,373.9,101.38,1651.0,91.74,59.73,14.422,99.02,563.6,57.41,52.76,5.728,34.900915999999995,116.12587392,148.38,323.7,49.72,217.6,785.3,67.04,27.81,12.636,27.49,2.288,146.52,53.25,56.29
